Datetime [UTC+10.00],Baro [m],Earth tides [m**2/s**2],FG822-1 [m],FG822-1_corrected [m]
23/10/2014 07:45:00,10.1339,,144.3362,144.3484
23/10/2014 08:00:00,10.1304,,144.3366,144.3477
23/10/2014 08:15:00,10.1278,,144.3377,144.3477
23/10/2014 08:30:00,10.126,,144.3386,144.3477
23/10/2014 08:45:00,10.1255,,144.3395,144.3478
23/10/2014 09:00:00,10.1251,,144.3394,144.347
23/10/2014 09:15:00,10.1236,,144.3402,144.3472
23/10/2014 09:30:00,10.1221,,144.3409,144.3474
23/10/2014 09:45:00,10.1217,,144.3412,144.3475
23/10/2014 10:00:00,10.1213,,144.3406,144.3466
23/10/2014 10:15:00,10.1199,,144.3415,144.3472
23/10/2014 10:30:00,10.1188,,144.3413,144.3469
23/10/2014 10:45:00,10.1195,,144.3411,144.3469
23/10/2014 11:00:00,10.1206,,144.3407,144.3466
23/10/2014 11:15:00,10.1209,,144.341,144.3472
23/10/2014 11:30:00,10.1214,,144.3406,144.3472
23/10/2014 11:45:00,10.1228,,144.3399,144.347
23/10/2014 12:00:00,10.1242,,144.3392,144.3469
23/10/2014 12:15:00,10.1246,,144.3386,144.3468
23/10/2014 12:30:00,10.1249,,144.3385,144.3473
23/10/2014 12:45:00,10.1261,,144.3378,144.3473
23/10/2014 13:00:00,10.1275,,144.3372,144.3473
23/10/2014 13:15:00,10.1286,,144.3355,144.3463
23/10/2014 13:30:00,10.1298,,144.3345,144.3461
23/10/2014 13:45:00,10.1311,,144.3338,144.3461
23/10/2014 14:00:00,10.1326,,144.3324,144.3454
23/10/2014 14:15:00,10.1346,,144.332,144.3457
23/10/2014 14:30:00,10.1367,,144.3314,144.3457
23/10/2014 14:45:00,10.1385,,144.3311,144.3461
23/10/2014 15:00:00,10.1399,,144.3303,144.3458
23/10/2014 15:15:00,10.1407,,144.3307,144.3466
23/10/2014 15:30:00,10.1411,,144.3302,144.3466
23/10/2014 15:45:00,10.1412,,144.3303,144.3468
23/10/2014 16:00:00,10.141,,144.3302,144.3469
23/10/2014 16:15:00,10.1408,,144.3301,144.3469
23/10/2014 16:30:00,10.1403,,144.3308,144.3475
23/10/2014 16:45:00,10.1393,,144.3297,144.3461
23/10/2014 17:00:00,10.1382,,144.3312,144.3472
23/10/2014 17:15:00,10.1373,,144.3324,144.348
23/10/2014 17:30:00,10.1364,,144.3325,144.3476
23/10/2014 17:45:00,10.1354,,144.3329,144.3475
23/10/2014 18:00:00,10.1345,,144.3348,144.3489
23/10/2014 18:15:00,10.1339,,144.3357,144.3494
23/10/2014 18:30:00,10.1329,,144.3365,144.3497
23/10/2014 18:45:00,10.1304,,144.338,144.3506
23/10/2014 19:00:00,10.1275,,144.3392,144.3511
23/10/2014 19:15:00,10.1249,,144.34,144.3512
23/10/2014 19:30:00,10.1228,,144.3404,144.3509
23/10/2014 19:45:00,10.1216,,144.3413,144.3512
23/10/2014 20:00:00,10.1208,,144.3416,144.3511
23/10/2014 20:15:00,10.1195,,144.3415,144.3506
23/10/2014 20:30:00,10.1186,,144.3419,144.3508
23/10/2014 20:45:00,10.1188,,144.3422,144.351
23/10/2014 21:00:00,10.1194,,144.3424,144.3513
23/10/2014 21:15:00,10.1201,,144.3418,144.3509
23/10/2014 21:30:00,10.1207,,144.3412,144.3507
23/10/2014 21:45:00,10.1209,,144.3407,144.3506
23/10/2014 22:00:00,10.1214,,144.3397,144.3502
23/10/2014 22:15:00,10.1231,,144.339,144.3503
23/10/2014 22:30:00,10.1249,,144.3389,144.351
23/10/2014 22:45:00,10.126,,144.3386,144.3515
23/10/2014 23:00:00,10.1268,,144.3368,144.3506
23/10/2014 23:15:00,10.127,,144.3352,144.3498
23/10/2014 23:30:00,10.1276,,144.3346,144.3499
23/10/2014 23:45:00,10.1298,,144.3338,144.3501
24/10/2014 00:00:00,10.1322,,144.3315,144.3487
24/10/2014 00:15:00,10.1336,,144.3309,144.349
24/10/2014 00:30:00,10.135,,144.33,144.349
24/10/2014 00:45:00,10.1375,,144.3288,144.3487
24/10/2014 01:00:00,10.1404,,144.3274,144.3482
24/10/2014 01:15:00,10.143,,144.3267,144.3484
24/10/2014 01:30:00,10.1457,,144.3259,144.3485
24/10/2014 01:45:00,10.149,,144.3259,144.3494
24/10/2014 02:00:00,10.1517,,144.3248,144.3491
24/10/2014 02:15:00,10.1528,,144.3237,144.3485
24/10/2014 02:30:00,10.153,,144.3242,144.3493
24/10/2014 02:45:00,10.1524,,144.324,144.3491
24/10/2014 03:00:00,10.1518,,144.3243,144.3494
24/10/2014 03:15:00,10.1523,,144.3244,144.3494
24/10/2014 03:30:00,10.1524,,144.325,144.3497
24/10/2014 03:45:00,10.151,,144.3256,144.3496
24/10/2014 04:00:00,10.1488,,144.3256,144.3488
24/10/2014 04:15:00,10.1462,,144.3275,144.3496
24/10/2014 04:30:00,10.1437,,144.3287,144.3497
24/10/2014 04:45:00,10.142,,144.3302,144.3499
24/10/2014 05:00:00,10.1404,,144.3306,144.3489
24/10/2014 05:15:00,10.1383,,144.3327,144.3496
24/10/2014 05:30:00,10.1358,,144.3333,144.3487
24/10/2014 05:45:00,10.1325,,144.3345,144.3482
24/10/2014 06:00:00,10.1295,,144.3351,144.3472
24/10/2014 06:15:00,10.128,,144.3362,144.3467
24/10/2014 06:30:00,10.1267,,144.3374,144.3463
24/10/2014 06:45:00,10.1244,,144.338,144.3452
24/10/2014 07:00:00,10.1219,,144.3401,144.3457
24/10/2014 07:15:00,10.1198,,144.3405,144.3447
24/10/2014 07:30:00,10.1178,,144.3428,144.3456
24/10/2014 07:45:00,10.1159,,144.3439,144.3455
24/10/2014 08:00:00,10.114,,144.3451,144.3455
24/10/2014 08:15:00,10.1119,,144.3458,144.345
24/10/2014 08:30:00,10.1094,,144.3469,144.345
24/10/2014 08:45:00,10.1054,,144.348,144.3449
24/10/2014 09:00:00,10.1021,,144.3489,144.3448
24/10/2014 09:15:00,10.1022,,144.3496,144.3449
24/10/2014 09:30:00,10.1027,,144.3507,144.3453
24/10/2014 09:45:00,10.101,,144.3509,144.3449
24/10/2014 10:00:00,10.0994,,144.3509,144.3446
24/10/2014 10:15:00,10.0997,,144.3517,144.3452
24/10/2014 10:30:00,10.1003,,144.3528,144.3461
24/10/2014 10:45:00,10.0997,,144.3517,144.3449
24/10/2014 11:00:00,10.0991,,144.3517,144.3448
24/10/2014 11:15:00,10.0994,,144.352,144.3454
24/10/2014 11:30:00,10.1,,144.3511,144.3448
24/10/2014 11:45:00,10.1008,,144.3499,144.344
24/10/2014 12:00:00,10.1017,,144.3486,144.3431
24/10/2014 12:15:00,10.1022,,144.3478,144.3428
24/10/2014 12:30:00,10.1031,,144.3457,144.3413
