Datetime [UTC+10.00],Baro [m],Earth tides [m**2/s**2],Smith [m],Smith_corrected [m]
03/11/2015 22:30:00,10.0597,,85.716,85.6925
03/11/2015 22:45:00,10.0615,,85.713,85.6918
03/11/2015 23:00:00,10.0637,,85.711,85.692
03/11/2015 23:15:00,10.0658,,85.711,85.6936
03/11/2015 23:30:00,10.068,,85.71,85.6938
03/11/2015 23:45:00,10.0704,,85.709,85.6949
04/11/2015 00:00:00,10.0726,,85.708,85.6956
04/11/2015 00:15:00,10.0739,,85.705,85.6943
04/11/2015 00:30:00,10.0751,,85.704,85.6953
04/11/2015 00:45:00,10.0769,,85.703,85.6945
04/11/2015 01:00:00,10.079,,85.705,85.6968
04/11/2015 01:15:00,10.0815,,85.702,85.6946
04/11/2015 01:30:00,10.0836,,85.7,85.693
04/11/2015 01:45:00,10.0841,,85.698,85.6924
04/11/2015 02:00:00,10.0844,,85.697,85.6932
04/11/2015 02:15:00,10.0859,,85.697,85.6936
04/11/2015 02:30:00,10.0875,,85.696,85.6925
04/11/2015 02:45:00,10.0886,,85.697,85.6934
04/11/2015 03:00:00,10.0895,,85.697,85.692
04/11/2015 03:15:00,10.0903,,85.697,85.6908
04/11/2015 03:30:00,10.0907,,85.698,85.6909
04/11/2015 03:45:00,10.0905,,85.697,85.689
04/11/2015 04:00:00,10.0902,,85.7,85.6911
04/11/2015 04:15:00,10.0905,,85.701,85.6914
04/11/2015 04:30:00,10.0904,,85.7,85.689
04/11/2015 04:45:00,10.0887,,85.7,85.6875
04/11/2015 05:00:00,10.0868,,85.702,85.6881
04/11/2015 05:15:00,10.0863,,85.702,85.6865
04/11/2015 05:30:00,10.0862,,85.703,85.6852
04/11/2015 05:45:00,10.0861,,85.704,85.6857
04/11/2015 06:00:00,10.0858,,85.705,85.6862
04/11/2015 06:15:00,10.0847,,85.707,85.6866
04/11/2015 06:30:00,10.0835,,85.707,85.6842
04/11/2015 06:45:00,10.0828,,85.708,85.6827
04/11/2015 07:00:00,10.0821,,85.708,85.6809
04/11/2015 07:15:00,10.0809,,85.71,85.6811
04/11/2015 07:30:00,10.0796,,85.712,85.6824
04/11/2015 07:45:00,10.0786,,85.711,85.6806
04/11/2015 08:00:00,10.0776,,85.714,85.6833
04/11/2015 08:15:00,10.076,,85.713,85.6808
04/11/2015 08:30:00,10.0745,,85.714,85.6817
04/11/2015 08:45:00,10.0736,,85.712,85.681
04/11/2015 09:00:00,10.0731,,85.711,85.6804
04/11/2015 09:15:00,10.0734,,85.711,85.6805
04/11/2015 09:30:00,10.074,,85.709,85.6785
04/11/2015 09:45:00,10.0747,,85.707,85.6786
04/11/2015 10:00:00,10.0756,,85.706,85.6795
04/11/2015 10:15:00,10.0766,,85.705,85.68
04/11/2015 10:30:00,10.0775,,85.704,85.6806
04/11/2015 10:45:00,10.0781,,85.704,85.6831
04/11/2015 11:00:00,10.0786,,85.702,85.6827
04/11/2015 11:15:00,10.0788,,85.702,85.6843
04/11/2015 11:30:00,10.0791,,85.7,85.6837
04/11/2015 11:45:00,10.0802,,85.698,85.6837
04/11/2015 12:00:00,10.0815,,85.698,85.6861
04/11/2015 12:15:00,10.0829,,85.695,85.6836
04/11/2015 12:30:00,10.0844,,85.693,85.6831
04/11/2015 12:45:00,10.0856,,85.69,85.6813
04/11/2015 13:00:00,10.087,,85.689,85.6821
04/11/2015 13:15:00,10.0887,,85.685,85.6802
04/11/2015 13:30:00,10.0908,,85.684,85.6809
04/11/2015 13:45:00,10.0935,,85.682,85.6805
04/11/2015 14:00:00,10.0963,,85.679,85.6787
04/11/2015 14:15:00,10.0987,,85.681,85.681
04/11/2015 14:30:00,10.1008,,85.679,85.6793
04/11/2015 14:45:00,10.1022,,85.678,85.6798
04/11/2015 15:00:00,10.1032,,85.677,85.6779
04/11/2015 15:15:00,10.104,,85.677,85.6782
04/11/2015 15:30:00,10.1049,,85.677,85.6787
04/11/2015 15:45:00,10.1065,,85.676,85.6774
04/11/2015 16:00:00,10.1077,,85.675,85.676
04/11/2015 16:15:00,10.1074,,85.675,85.6757
